Name,Stars,Rooms,Beds,Postcal Code,Nr,Location
WATERFRONT HOTEL,2,10,24,1017AW,458,52.3672:4.8895
"CONCERT HOTEL, THE",3,26,52,1071NR,11,52.3549:4.877
"LEYDSCHE HOF HOTEL,DE",1,5,10,1016CK,14,52.3675:4.8859
PAX HOTEL,1,10,21,1016DC,37B,52.3734:4.8862
SHARM HOTEL,1,11,21,1016DC,33,52.3734:4.8862
"COLLEGE HOTEL, THE",4,40,80,1071VE,1,52.3525:4.8847
SYMPHONY HOTEL PAGANINI,0,47,95,1072AD,68,52.3582:4.8895
SEASON STAR HOTEL,0,29,56,1012TR,18,52.378:4.8961
CONTINENTAL HOTEL,1,32,90,1012LK,40-41,52.3758:4.8961
PENSION DE BOER-VAN ESSEN,0,6,8,1075GX,165,52.3531:4.8675
MOZART HOTEL,3,47,86,1017KJ,518-520,52.3633:4.8866
TOURIST-INN HOTEL,1,37,125,1012TV,52,52.3762:4.8924
EDEN AMSTERDAM MANOR HOTEL,4,125,250,1093EK,89,52.3597:4.9259
M?VENPICK HOTEL AMSTERDAM CITY CENTRE,4,408,816,1019BR,11,52.3778:4.9146
BELLEVUE HOTEL,3,75,140,1012TP,10,52.3781:4.8967
FUSION SUITES,3,4,8,1054EZ,40,52.3613:4.8765
WASHINGTON HOTEL,2,22,52,1071RS,10,52.3549:4.8833
AVENUE HOTEL AMSTERDAM,3,80,165,1012RD,33,52.3761:4.8939
QBIC WTC AMSTERDAM,0,55,110,1077XX,241,52.3404:4.8746
AALDERS HOTEL,3,28,61,1071CJ,13-15,52.3598:4.8821
"BEMA, HOTEL HUIZE",1,8,18,1071LM,19B,52.3552:4.8784
"PARIS HOTEL,DE",3,38,86,1016XX,372-374,52.3657:4.8798
CASA 400 AMSTERDAM HOTEL,3,519,1021,1097BC,4,52.3495:4.9194
NICOLAAS WITSEN HOTEL,3,28,56,1017ZH,4-8,52.3587:4.8961
ALEXANDER HOTEL,3,34,73,1054GE,44-46,52.3624:4.8773
